recording_id,event_id,ego_id,target_id,start_frame,end_frame,anchor_frame,context_anchor_frame,context_horizon_steps,ego_length,adv_length,initial_gap,initial_closing_speed,recorded_min_gap,recorded_min_ttc,collision,near_collision,y_long
1,fol_01_00001,5,4,1,161,81,36,125,4.24,5.05,37.159992675781254,0.30999755859375,33.64999771118164,24.742633819580078,0.0,0.0,1.3037217614089553
1,fol_01_00002,7,3,1,157,79,32,125,4.75,3.94,29.590012817382814,-2.9199981689453125,29.59001350402832,1000.0,0.0,0.0,1.0328850801030574
1,fol_01_00003,8,2,1,130,66,5,125,5.76,4.24,72.12001037597656,-0.7000007629394531,72.12001037597656,1000.0,0.0,0.0,0.4381594179650044
1,fol_01_00004,12,7,1,163,82,38,125,3.64,4.75,130.7999951171875,2.890003204345703,118.09000396728516,45.259464263916016,0.0,0.0,0.35370333898910655
1,fol_01_00005,15,12,42,283,163,158,125,3.64,3.64,68.10000549316406,-0.5,64.11000061035156,31.581298828125,0.0,0.0,0.5749634765904622
1,fol_01_00006,18,16,135,354,245,229,125,4.14,4.55,97.55999877929688,-6.489999771118164,97.55999755859375,1000.0,0.0,0.0,0.29138360931359697
1,fol_01_00007,20,19,243,460,352,335,125,4.75,5.26,99.77999603271485,-3.4000015258789062,99.77999877929688,1000.0,0.0,0.0,0.3203474960841259
1,fol_01_00008,21,20,266,553,410,410,125,4.55,4.75,24.269998168945314,-0.4600028991699219,24.26999855041504,1000.0,0.0,0.0,1.3299093602865113
1,fol_01_00009,26,21,357,577,467,452,125,4.95,4.55,140.30999755859375,-5.239997863769531,140.30999755859375,1000.0,0.0,0.0,0.1882840546464964
1,fol_01_00010,28,23,394,627,511,502,125,2.83,5.26,60.04998596191406,3.490001678466797,43.53999328613281,15.057394027709961,0.0,0.0,0.885475141289413
1,fol_01_00011,29,28,431,688,560,560,125,4.24,2.83,58.01999267578125,-1.1200027465820312,58.01999282836914,430.8589782714844,0.0,0.0,0.5750253391280681
1,fol_01_00012,30,27,460,587,524,462,125,5.26,5.15,76.31999389648438,6.559999465942383,43.769989013671875,6.817755699157715,0.0,0.0,1.0003346340243535
