recording_id,num_following_events,num_ego_vehicles,num_union_intervals,following_ego_distance_m,following_ego_miles,following_ego_hours,num_all_vehicles,all_vehicle_distance_m,all_vehicle_miles,all_vehicle_hours
1,675,667,667,213239.98000000007,132.5011806052653,1.8567666666666653,1047,418549.12000000034,260.0743657042872,3.8633666666666686
2,643,637,637,205189.87999999998,127.49908037063547,1.7654111111111115,1113,445570.3899999998,276.86460445995374,4.188911111111116
3,460,452,453,142590.11000000004,88.60138665195262,1.1704666666666665,914,368101.43000000005,228.72762442336756,3.3619333333333348
4,471,465,465,135685.57,84.31110440030224,1.132266666666666,1163,467788.76000000024,290.6704595164242,4.328044444444443
5,484,481,481,142558.45000000013,88.58171404000645,1.193366666666668,1216,486767.1700000005,302.46309676489335,4.459133333333333
6,570,564,566,165090.04000000015,102.58219498130924,1.383644444444444,1368,552436.2099999995,343.26794644277385,5.0494999999999965
7,485,485,485,145827.62000000008,90.61308210053294,1.136533333333333,855,339559.1400000002,210.9922676568839,2.846400000000002
8,848,843,843,253209.07,157.33682171120654,1.9280888888888883,1620,643972.3100000008,400.1458420325305,5.340355555555554
9,673,669,669,202940.83999999997,126.10159170444601,1.5820222222222227,1420,566613.9399999991,352.07757943609266,4.835711111111108
10,437,437,437,133561.44,82.99123120973515,1.0343222222222215,856,342234.5199999996,212.65467171717148,2.860622222222223
11,1467,1421,1424,489633.64,304.2442386463056,4.916544444444452,1776,712302.3299999973,442.6041480255292,7.299944444444442
12,2399,2295,2301,802567.3899999985,498.69225597510444,9.17754444444445,2728,1098213.5700000012,682.3982753221196,12.55725555555554
13,2524,2454,2454,829136.3100000023,515.2014174719651,7.938255555555555,2949,1189922.2700000016,739.3834195796558,11.578233333333316
14,2369,2324,2324,779250.0900000007,484.2035574743502,7.251766666666666,2844,1144039.2699999996,710.873045166229,10.875166666666658
15,556,554,554,179992.36999999997,111.84207354052332,1.584255555555556,922,368218.32000000007,228.8002565020282,3.4468999999999967
16,554,547,547,175329.08999999997,108.9444456871868,1.545755555555555,998,403770.40000000026,250.89129483814537,3.745044444444447
17,579,575,575,187887.41999999978,116.74783017179656,1.6454555555555572,977,391334.8800000003,243.1642209496542,3.585255555555557
