k,u,xi,beta,modified_scale,exceedance_rate
20.0,7.370025349400703,0.9344216115341175,2.0751742108673237,8.961885174901626,0.0002727657078952034
21.0,7.363623754169406,1.0273330940878158,1.723048295149375,9.287942670218769,0.0002864039932899636
22.0,7.306217307076164,1.0470328161486142,1.5934942454456045,9.243343527867305,0.0003000422786847238
23.0,7.192223934937807,0.9810965623502841,1.673974346714386,8.730240524935303,0.0003136805640794839
24.0,7.074584796528604,0.9229083188358129,1.753758109901093,8.28295127092671,0.0003273188494742441
25.0,7.065487906017672,0.9873063250765048,1.5270877003625207,8.502888599725317,0.0003409571348690043
26.0,6.951205203105783,0.9170038054172074,1.635837713595731,8.010119337079626,0.00035459542026376447
27.0,6.927252619536494,0.9546298984110106,1.4878768820499406,8.100839346505472,0.0003682337056585246
28.0,6.920425537604175,1.0162267049642475,1.3081733224948888,8.340894563524811,0.0003818719910532848
29.0,6.86514780952024,0.9952214896609688,1.3010143288602762,8.133356958593746,0.00039551027644804497
30.0,6.776106376379723,0.9278993265648748,1.3940223785744819,7.681566921949181,0.0004091485618428051
31.0,6.705201793532583,0.8936718462632024,1.4270703698257536,7.419320436219354,0.0004227868472375653
32.0,6.682237700712493,0.9168652254263177,1.3351779775243813,7.46188935334038,0.0004364251326323255
33.0,6.643426701371035,0.916008856033931,1.2986024415960846,7.384040134464239,0.00045006341802708566
34.0,6.599013250108433,0.905026030464068,1.284885550128455,7.257164316853878,0.0004637017034218458
35.0,6.581422786843269,0.9291992714075601,1.2037773654446928,7.319230623804572,0.000477339988816606
36.0,6.53929157013571,0.9137955222112847,1.2004068244192232,7.175982179643237,0.0004909782742113662
37.0,6.530414278514353,0.948413366470686,1.1085548983302485,7.3020870886642815,0.0005046165596061264
38.0,6.516448007109726,0.9735581170504702,1.0397629127901382,7.3839037644491725,0.0005182548450008865
39.0,6.50834601583469,1.0099928621690193,0.9599318963635597,7.533314916882772,0.0005318931303956466
40.0,6.500358149601652,1.0470424379247558,0.8865437751297576,7.692694619472726,0.0005455314157904068
41.0,6.45171829753289,0.9804590113836182,0.9518889178162682,7.277534261540966,0.000559169701185167
42.0,6.305794279069911,0.7991393618018712,1.2486487063986598,6.287857122228479,0.0005728079865799272
43.0,6.29786100894408,0.8215980914501413,1.1778498853025665,6.3521604704692844,0.0005864462719746874
44.0,6.237869342773258,0.7829915010406688,1.2356635635725977,6.119862243566201,0.0006000845573694475
45.0,6.213845502543867,0.7855030946302572,1.2080861130605625,6.0890809848630765,0.0006137228427642077
46.0,6.204263715116577,0.8038260930312386,1.1498120495776671,6.136961111835303,0.0006273611281589678
47.0,6.1817495798857935,0.8050434831457094,1.1271544372597417,6.103731650985527,0.000640999413553728
48.0,6.162042189549726,0.8088557119874166,1.1005842829727042,6.084787305497447,0.0006546376989484882
49.0,6.158672654504001,0.8349045186434518,1.0361049482438822,6.178008576335135,0.0006682759843432484
50.0,6.116741466213783,0.8032971424618149,1.0733547348372663,5.986915675824491,0.0006819142697380086
51.0,6.098882408680437,0.806742091399064,1.0499963576181468,5.970221507193964,0.0006955525551327687
52.0,6.079731259534351,0.8072470346477071,1.032416967575784,5.9402619982898575,0.0007091908405275289
53.0,6.052027807307136,0.794565359159787,1.0382218067834397,5.846953455141453,0.000722829125922289
54.0,6.029613401384966,0.7891634269442868,1.0319360049121316,5.790286379898289,0.0007364674113170492
55.0,5.984602099420204,0.7539248421358931,1.0805542395599321,5.592494432611444,0.0007501056967118094
56.0,5.982351361524906,0.7753892050001008,1.026713082734204,5.665363748978272,0.0007637439821065696
57.0,5.969955417381155,0.7826346351637758,1.0000284529352932,5.672322332961401,0.0007773822675013298
58.0,5.938852030741121,0.7623558504004899,1.021027579695328,5.548546169993652,0.0007910205528960899
59.0,5.910875952388828,0.7474394936848963,1.0338792539955983,5.451901383083333,0.0008046588382908501
60.0,5.898866520327612,0.7537113495369332,1.0095728958317065,5.455615541606065,0.0008182971236856102
61.0,5.857970533010668,0.7217917206667146,1.0543749769770099,5.282609607613691,0.0008319354090803704
62.0,5.854115609124685,0.7379213259638612,1.0125113371554448,5.33238808978647,0.0008455736944751306
63.0,5.832155504355617,0.7296121606510492,1.0151098634597018,5.270321442245513,0.0008592119798698908
64.0,5.831797891737902,0.7505412073414384,0.967544121376875,5.344548752013095,0.000872850265264651
65.0,5.824996993186517,0.7622635382359015,0.9373373088792956,5.377520127119138,0.0008864885506594111
66.0,5.8173181526514535,0.7723683827282878,0.9108974653665955,5.404010078745909,0.0009001268360541713
67.0,5.803529446296165,0.771469352490998,0.9015617925502221,5.378806896646764,0.0009137651214489314
68.0,5.802568579999453,0.7931411107500018,0.8600892324044247,5.462344921148252,0.0009274034068436916
69.0,5.797833200097711,0.8080795160671379,0.8301262563586866,5.51523650293163,0.0009410416922384518
70.0,5.786802432746613,0.8091703272000382,0.8189503605104271,5.501459178457981,0.000954679977633212
71.0,5.772491932564559,0.8027273534676683,0.8177232009219685,5.451460372862984,0.0009683182630279721
72.0,5.765262774737093,0.8110601756919165,0.7978930617049631,5.473868100693296,0.0009819565484227323
73.0,5.745246316613305,0.791331480081283,0.8140883008933446,5.360482572050491,0.0009955948338174925
74.0,5.728510229019466,0.7793476757692631,0.8209258296971583,5.285426962303927,0.0010092331192122527
75.0,5.708129426074004,0.7611475553963403,0.8369605578328488,5.1816893163749915,0.0010228714046070129
76.0,5.689946164675512,0.7480284419876047,0.8468063318916499,5.103047896447221,0.001036509690001773
77.0,5.682825500564944,0.7544352233568625,0.8294754146159382,5.116799140432726,0.001050147975396533
78.0,5.680071429755234,0.7689413180796434,0.8019132541793955,5.16955486616191,0.0010637862607912932
79.0,5.654234523814833,0.7395228651005251,0.8337747564482914,5.01521047145014,0.0010774245461860534
80.0,5.647782475354733,0.7462067297900168,0.816683579700037,5.031096871199858,0.0010910628315808136
81.0,5.635965852353765,0.7427130435370085,0.8138471120956401,4.9997524635679556,0.0011047011169755738
82.0,5.620965784008394,0.7332520573435459,0.8192803494274419,4.940865074809274,0.001118339402370334
83.0,5.609326583694567,0.7298581651181378,0.816694596463015,4.9107074043867245,0.0011319776877650942
84.0,5.606586263967312,0.7421766852981551,0.7928081222756607,4.953885731505087,0.0011456159731598544
85.0,5.598216735016487,0.7436320767814619,0.7837942221575707,4.946807759090616,0.0011592542585546145
86.0,5.586705795036758,0.7387823997662055,0.7833176722716039,4.910677586316627,0.0011728925439493747
87.0,5.58278389481478,0.7483739926148995,0.7642448845299603,4.942255157798655,0.001186530829344135
88.0,5.57652190290955,0.7529820413371616,0.7519065063272934,4.95092735234152,0.001200169114738895
89.0,5.567699121358897,0.7518657835210467,0.7468070283084316,4.932969490598382,0.0012138074001336553
90.0,5.5469861482868055,0.7268886668407658,0.771922893745647,4.803964260058038,0.0012274456855284155
91.0,5.545278690801803,0.7398297815349677,0.7492254537305669,4.851787776096977,0.0012410839709231754
92.0,5.539479030558815,0.7444190984258288,0.7375446960549182,4.861238681732296,0.0012547222563179356
93.0,5.531676069859343,0.7444030214150033,0.7316018493616041,4.8493982292539695,0.0012683605417126958
94.0,5.5204940848972175,0.7369689575435476,0.7346299113848985,4.803062682256922,0.001281998827107456
95.0,5.516801719799958,0.7452511297595412,0.7190229976329745,4.830425711973273,0.0012956371125022162
96.0,5.509426659546152,0.7452004988925498,0.7134216511450959,4.819049146450803,0.0013092753978969764
97.0,5.486280487895448,0.712745571422731,0.7473773460254928,4.657699467355913,0.0013229136832917366
98.0,5.478803129591267,0.7128107374029102,0.7417758218955809,4.647125520784904,0.0013365519686864967
99.0,5.469520983585696,0.7090726911367476,0.7410095085203622,4.619297471580382,0.001350190254081257
100.0,5.456436375942599,0.6982055479303322,0.749552639764114,4.559266789376112,0.0013638285394760171
101.0,5.438835074977302,0.6799955103609185,0.7683472868558405,4.466730719433896,0.0013774668248707773
102.0,5.419800081240065,0.6609760402841632,0.7895236083641879,4.371881605194032,0.0013911051102655375
103.0,5.419071285840642,0.6721022000533745,0.7689324053142721,4.4111021387738365,0.0014047433956602977
104.0,5.415564882123189,0.6785209150496859,0.7552048181430204,4.429778857472192,0.0014183816810550579
105.0,5.414676418322574,0.689847392178067,0.735713341612414,4.471013748280318,0.0014320199664498178
106.0,5.413041919593293,0.699849557163448,0.7184261761895541,4.506741166524101,0.001445658251844578
107.0,5.4070444674338125,0.701109875892244,0.7121187786108836,4.503051054117249,0.0014592965372393382
108.0,5.404600201016184,0.709490208930231,0.6974961676390005,4.532007093442341,0.0014729348226340984
109.0,5.403236111498077,0.720264967779618,0.6805336392387149,4.572295322992546,0.0014865731080288586
110.0,5.3749486223639815,0.6752001383830653,0.7298365422348735,4.359002595856899,0.0015002113934236188
111.0,5.3723632724479256,0.6825172428813737,0.7162382445197791,4.382968812988092,0.001513849678818379
112.0,5.3696863305941465,0.6896663159148835,0.7031404496783563,4.406432238917731,0.0015274879642131391
113.0,5.365569124606122,0.6937351831424563,0.6939175393262145,4.416201618648351,0.0015411262496078993
114.0,5.365117938007175,0.705673781392967,0.6759334097475392,4.4619564726803,0.0015547645350026595
115.0,5.356694614254368,0.6998865350736776,0.6782514265029466,4.427329859521266,0.0015684028203974197
116.0,5.350878583825312,0.6997466176547289,0.6742462575810337,4.418505448093922,0.0015820411057921799
117.0,5.348751666875008,0.7077141583200837,0.6613088396818538,4.4466961236674445,0.00159567939118694
118.0,5.345268231596039,0.7124841315985042,0.652128233355389,4.460547027505165,0.0016093176765817003
119.0,5.321878553714865,0.6736944216871315,0.6921520248349342,4.277471919369018,0.0016229559619764602
120.0,5.307778969113507,0.6577304819574787,0.7078001685677788,4.198888188046575,0.0016365942473712204
121.0,5.301150036287149,0.6560968576954034,0.7058582063183263,4.1839260872981985,0.0016502325327659806
122.0,5.300284542516029,0.6653247947496329,0.6907506469357795,4.217161372299908,0.0016638708181607408
