context_index,sample_index,recording_id,event_id,score,collision,near_collision,min_gap,min_ttc
0,0,52,fol_52_00373,1.3131265854670917,0.0,0.0,14.350196624073401,3.439502308315941
0,1,52,fol_52_00373,1.5625865810154722,0.0,0.0,11.61409925801281,2.9758825787880063
0,2,52,fol_52_00373,1.4708329254862833,0.0,0.0,12.446997182450058,3.4025061943003743
0,3,52,fol_52_00373,1.3944183847917826,0.0,0.0,12.828086147389467,3.4397662302769474
0,4,52,fol_52_00373,1.0771679294046987,0.0,0.0,17.359163552645636,3.4384822855684742
0,5,52,fol_52_00373,2.260224270557708,0.0,0.0,7.896798411002675,1.9744102449205403
0,6,52,fol_52_00373,1.0779624821141014,0.0,0.0,17.339792364140767,3.4397647226788517
0,7,52,fol_52_00373,1.1000005287081334,0.0,0.0,17.41375234914153,3.4384995919956056
0,8,52,fol_52_00373,2.799366279318111,0.0,0.0,5.780895998981646,1.753379977424074
0,9,52,fol_52_00373,1.081700376663503,0.0,0.0,17.28966043549241,3.438959968343358
0,10,52,fol_52_00373,1.2567274984697239,0.0,0.0,14.89540318459829,3.4392460302445063
0,11,52,fol_52_00373,1.0883736340714547,0.0,0.0,17.335883209912748,3.4391201171013575
0,12,52,fol_52_00373,1.103434507168516,0.0,0.0,17.380574685158162,3.438993776873396
0,13,52,fol_52_00373,1.5803182515524994,0.0,0.0,11.333103042423328,2.950460881585184
0,14,52,fol_52_00373,1.0791072231713001,0.0,0.0,17.326381601327025,3.4387884790189736
0,15,52,fol_52_00373,1.107994377584749,0.0,0.0,17.33133531875986,3.439370767371344
1,0,46,fol_46_00851,0.7188238816784172,0.0,0.0,16.605548891212727,5.59756936136117
1,1,46,fol_46_00851,0.7184284456736638,0.0,0.0,16.609048182944157,5.600352048702882
1,2,46,fol_46_00851,0.7182003514208308,0.0,0.0,16.612017741661106,5.600311939983082
1,3,46,fol_46_00851,0.7177899808681044,0.0,0.0,16.616463519859778,5.602480350785351
1,4,46,fol_46_00851,0.830607368357572,0.0,0.0,16.59801440080699,5.595210841911514
1,5,46,fol_46_00851,0.7191762511130653,0.0,0.0,16.601507666809482,5.599986464120675
1,6,46,fol_46_00851,0.7962594409932391,0.0,0.0,16.597975838320558,5.597592651062991
1,7,46,fol_46_00851,0.7184253792476816,0.0,0.0,16.61062877028455,5.598656050035146
1,8,46,fol_46_00851,0.7193437248800155,0.0,0.0,16.600033534726307,5.597190985870984
1,9,46,fol_46_00851,0.7185880090379967,0.0,0.0,16.60840864031423,5.600743476657126
1,10,46,fol_46_00851,0.7191658881065339,0.0,0.0,16.601403749050327,5.599579718102729
1,11,46,fol_46_00851,0.7182497776773625,0.0,0.0,16.612208298962514,5.599970463550949
1,12,46,fol_46_00851,0.7194427833067661,0.0,0.0,16.599336277498935,5.597629039241782
1,13,46,fol_46_00851,0.7219989134664023,0.0,0.0,16.598188691503005,5.596798069135066
1,14,46,fol_46_00851,0.8202937124610368,0.0,0.0,16.59113802717868,5.5964892776206945
1,15,46,fol_46_00851,0.9124303690204559,0.0,0.0,16.600431729742915,5.272776093800533
2,0,23,fol_23_00752,0.9106123837334611,0.0,0.0,14.494956607121198,4.1149046582991
2,1,23,fol_23_00752,0.9327005455244488,0.0,0.0,14.501693175101318,4.116629906060055
2,2,23,fol_23_00752,0.9565680018491519,0.0,0.0,14.500154604670124,4.116536872584325
2,3,23,fol_23_00752,0.9098618600308181,0.0,0.0,14.502199891339886,4.1160390905267
2,4,23,fol_23_00752,0.9546116555912546,0.0,0.0,14.493758664737983,4.116280234510284
2,5,23,fol_23_00752,2.005981698129867,0.0,0.0,7.843154788618206,2.291503078761908
2,6,23,fol_23_00752,0.910248872494092,0.0,0.0,14.498338719851889,4.115084456133359
2,7,23,fol_23_00752,0.9089216058087264,0.0,0.0,14.509119985255461,4.117199031110699
2,8,23,fol_23_00752,1.1588780825173384,0.0,0.0,12.849422711268927,4.115094305900316
2,9,23,fol_23_00752,2.1407980492813667,0.0,0.0,8.829160788790018,2.0555144607248783
