section,metric,value
validation,val_loss,0.22407166736561598
validation,val_noise_mse,0.17711476650667818
validation,val_x0_l1,0.3935357050559752
validation,val_smooth,0.760332984658914
action_distribution,real_ax_mean,0.07390052712362376
action_distribution,real_ax_std,0.29328090746894003
action_distribution,real_ax_p05,-0.36170274019241333
action_distribution,real_ax_p50,0.05626014620065689
action_distribution,real_ax_p95,0.6329369157552716
action_distribution,gen_ax_mean,0.08477622719656239
action_distribution,gen_ax_std,0.3112586618703946
action_distribution,gen_ax_p05,-0.36352180540561674
action_distribution,gen_ax_p50,0.060084057971835136
action_distribution,gen_ax_p95,0.6311801880598068
action_distribution,real_jerk_mean,-0.017891358584165573
action_distribution,real_jerk_std,0.7637809715109053
action_distribution,real_jerk_p05,-1.2445449829101562
action_distribution,real_jerk_p50,0.0
action_distribution,real_jerk_p95,1.2421607971191406
action_distribution,gen_jerk_mean,-0.0170428738056944
action_distribution,gen_jerk_std,1.2288806156214263
action_distribution,gen_jerk_p05,-1.2406454026699065
action_distribution,gen_jerk_p50,-0.0003510662354528904
action_distribution,gen_jerk_p95,1.1528991460800153
action_distribution,ax_wasserstein,0.013763180113019474
action_distribution,jerk_wasserstein,0.041420517097394624
action_distribution,ax_ks,0.024375000000000036
action_distribution,jerk_ks,0.06164062499999995
action_distribution,ax_histogram_l1,0.05859374999999996
action_distribution,jerk_histogram_l1,0.008359374999999938
physical_feasibility,action_clip_rate,0.0
physical_feasibility,speed_negative_rate,0.0
physical_feasibility,jerk_violation_rate,3.90625e-05
physical_feasibility,ax_violation_rate,0.0
physical_feasibility,trajectory_discontinuity_rate,0.0
trajectory_naturalness,real_lead_speed_mean,31.167187494263054
trajectory_naturalness,real_lead_speed_std,3.9792667324267437
trajectory_naturalness,real_lead_speed_p05,26.579999923706055
trajectory_naturalness,real_lead_speed_p50,29.979999542236328
trajectory_naturalness,real_lead_speed_p95,39.7400016784668
trajectory_naturalness,gen_lead_speed_mean,31.174811718314885
trajectory_naturalness,gen_lead_speed_std,3.9827886398796584
trajectory_naturalness,gen_lead_speed_p05,26.615469455718994
trajectory_naturalness,gen_lead_speed_p50,29.98556613922119
trajectory_naturalness,gen_lead_speed_p95,39.73391494750977
trajectory_naturalness,real_lead_final_speed_mean,31.23792964592576
trajectory_naturalness,real_lead_final_speed_std,4.1131822367509185
trajectory_naturalness,real_lead_final_speed_p05,26.631500053405762
trajectory_naturalness,real_lead_final_speed_p50,29.989999771118164
trajectory_naturalness,real_lead_final_speed_p95,40.30850048065185
trajectory_naturalness,gen_lead_final_speed_mean,31.259532906115055
trajectory_naturalness,gen_lead_final_speed_std,4.123109813919696
trajectory_naturalness,gen_lead_final_speed_p05,26.682383251190185
trajectory_naturalness,gen_lead_final_speed_p50,30.018590927124023
trajectory_naturalness,gen_lead_final_speed_p95,40.17441139221191
trajectory_naturalness,real_lead_displacement_mean,62.330664217472076
trajectory_naturalness,real_lead_displacement_std,7.948762100201541
trajectory_naturalness,real_lead_displacement_p05,53.27400283813476
